classification_id,user_name,user_id,workflow_id,task,created_at,subject_id,extractor,data.no-there-are-no-jets-in-this-image-sequence,data.aggregation_version,data.yes-there-is-at-least-one-jet-in-this-image-sequence
341828070,Zofia,248953.0,18563,T0,2021-06-19 16:34:19 UTC,62832741,question_extractor,1.0,3.6.0,
341828111,Zofia,248953.0,18563,T0,2021-06-19 16:34:36 UTC,62835255,question_extractor,1.0,3.6.0,
341828136,Zofia,248953.0,18563,T0,2021-06-19 16:34:45 UTC,62833488,question_extractor,1.0,3.6.0,
341828167,Zofia,248953.0,18563,T0,2021-06-19 16:34:55 UTC,62832918,question_extractor,1.0,3.6.0,
341828197,Zofia,248953.0,18563,T0,2021-06-19 16:35:03 UTC,62833027,question_extractor,1.0,3.6.0,
341828256,Zofia,248953.0,18563,T0,2021-06-19 16:35:22 UTC,62835213,question_extractor,1.0,3.6.0,
341828330,Zofia,248953.0,18563,T0,2021-06-19 16:35:52 UTC,62833446,question_extractor,1.0,3.6.0,
341828385,Zofia,248953.0,18563,T0,2021-06-19 16:36:14 UTC,62834053,question_extractor,1.0,3.6.0,
341828433,Zofia,248953.0,18563,T0,2021-06-19 16:36:31 UTC,62835438,question_extractor,1.0,3.6.0,
341828476,Zofia,248953.0,18563,T0,2021-06-19 16:36:56 UTC,62833606,question_extractor,1.0,3.6.0,
341828491,Zofia,248953.0,18563,T0,2021-06-19 16:37:03 UTC,62835564,question_extractor,,3.6.0,1.0
341828512,Zofia,248953.0,18563,T0,2021-06-19 16:37:16 UTC,62835122,question_extractor,1.0,3.6.0,
341828532,Zofia,248953.0,18563,T0,2021-06-19 16:37:25 UTC,62835260,question_extractor,1.0,3.6.0,
341828557,Zofia,248953.0,18563,T0,2021-06-19 16:37:38 UTC,62835433,question_extractor,1.0,3.6.0,
341828577,Zofia,248953.0,18563,T0,2021-06-19 16:37:48 UTC,62834089,question_extractor,1.0,3.6.0,
341828603,Zofia,248953.0,18563,T0,2021-06-19 16:38:00 UTC,62833681,question_extractor,,3.6.0,1.0
341828616,Zofia,248953.0,18563,T0,2021-06-19 16:38:07 UTC,62833701,question_extractor,,3.6.0,1.0
341828628,Zofia,248953.0,18563,T0,2021-06-19 16:38:14 UTC,62835813,question_extractor,,3.6.0,1.0
341828645,Zofia,248953.0,18563,T0,2021-06-19 16:38:21 UTC,62835283,question_extractor,1.0,3.6.0,
341828660,Zofia,248953.0,18563,T0,2021-06-19 16:38:29 UTC,62834147,question_extractor,1.0,3.6.0,
341828693,Zofia,248953.0,18563,T0,2021-06-19 16:38:37 UTC,62832995,question_extractor,1.0,3.6.0,
341828727,Zofia,248953.0,18563,T0,2021-06-19 16:38:50 UTC,62833483,question_extractor,1.0,3.6.0,
341828765,Zofia,248953.0,18563,T0,2021-06-19 16:39:02 UTC,62834114,question_extractor,1.0,3.6.0,
341828792,Zofia,248953.0,18563,T0,2021-06-19 16:39:10 UTC,62835568,question_extractor,,3.6.0,1.0
341828823,Zofia,248953.0,18563,T0,2021-06-19 16:39:20 UTC,62835856,question_extractor,,3.6.0,1.0
341828844,Zofia,248953.0,18563,T0,2021-06-19 16:39:29 UTC,62833694,question_extractor,,3.6.0,1.0
341828866,Zofia,248953.0,18563,T0,2021-06-19 16:39:38 UTC,62832730,question_extractor,1.0,3.6.0,
341828938,Zofia,248953.0,18563,T0,2021-06-19 16:40:14 UTC,62833846,question_extractor,1.0,3.6.0,
341828966,Zofia,248953.0,18563,T0,2021-06-19 16:40:23 UTC,62833717,question_extractor,,3.6.0,1.0
341828997,Zofia,248953.0,18563,T0,2021-06-19 16:40:34 UTC,62835416,question_extractor,1.0,3.6.0,
341829033,Zofia,248953.0,18563,T0,2021-06-19 16:40:44 UTC,62833409,question_extractor,1.0,3.6.0,
